Boundaries improved,all,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect
6,4.9135E-09,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02
5,9.1764E-01,1.0000E+02,1.0000E+02,5.0388E-07,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02
4,8.1350E-02,1.0000E+02,9.6210E+01,1.6821E-06,9.9890E+01,8.7628E+01,9.6210E+01,1.6272E+01
3,9.9829E-04,7.1937E+01,4.6191E+01,6.4230E-09,9.7343E+01,5.4194E+01,4.6191E+01,3.0335E+01
2,1.3248E-05,3.2460E+00,9.1178E-01,-8.7414E-17,9.9087E+01,8.1988E+01,9.1178E-01,1.4767E+01
1,7.7487E-09,8.8960E-03,-1.9838E-07,6.4051E-14,9.9979E+01,1.0747E-02,-1.9838E-07,1.5825E-03
0,2.9976E-15,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
