,0%,1%,2%
A_LA,281,0,0
A_EpsA,272,9,0
A_P,6,53,222
A_W,182,73,26
A_MA,281,0,0
P_EP,167,80,34
P_Pho,279,2,0
P_MP,281,0,0
Eps_AB,47,90,144
Eps_EEps,215,58,8
Eps_R,110,100,71
Y_EpsY,206,65,10
Y_MY,281,0,0
Fi_EFi,229,48,4
Fi_MFi,281,0,0
T_LT,281,0,0
T_MT,281,0,0
