,0%,1%,2%
A_LA,38,0,0
A_EpsA,38,0,0
A_P,0,10,28
A_W,0,30,8
A_MA,38,0,0
P_EP,24,11,3
P_Pho,38,0,0
P_MP,38,0,0
Eps_AB,0,1,37
Eps_EEps,37,1,0
Eps_R,18,12,8
Y_EpsY,26,11,1
Y_MY,38,0,0
Fi_EFi,32,6,0
Fi_MFi,38,0,0
T_LT,38,0,0
T_MT,38,0,0
