Boundaries improved,all,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect
6,4.9135E-09,4.9135E-09,4.9135E-09,4.9135E-09,4.9135E-09,4.9135E-09,4.9135E-09,4.9135E-09
5,9.1764E-01,9.1764E-01,9.1764E-01,4.6238E-09,9.1764E-01,9.1764E-01,9.1764E-01,9.1764E-01
4,8.1350E-02,8.1350E-02,7.8267E-02,1.3684E-09,8.1260E-02,7.1285E-02,7.8267E-02,1.3237E-02
3,9.9829E-04,7.1814E-04,4.6112E-04,6.4121E-14,9.7176E-04,5.4102E-04,4.6112E-04,3.0283E-04
2,1.3248E-05,4.3002E-07,1.2079E-07,-1.1581E-23,1.3127E-05,1.0862E-05,1.2079E-07,1.9563E-06
1,7.7487E-09,6.8932E-13,-1.5372E-17,4.9631E-24,7.7470E-09,8.3278E-13,-1.5372E-17,1.2263E-13
0,2.9976E-15,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
