,0%,1%
A_LA,21,0
A_EpsA,21,0
A_P,2,19
A_W,17,4
A_MA,21,0
P_EP,16,5
P_Pho,21,0
P_MP,21,0
Eps_AB,6,15
Eps_EEps,18,3
Eps_R,11,10
Y_EpsY,18,3
Y_MY,21,0
Fi_EFi,19,2
Fi_MFi,21,0
T_LT,21,0
T_MT,21,0
