all,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect,Boundaries improved
2.5761E-09,2.5761E-09,2.5761E-09,2.5761E-09,2.5761E-09,2.5761E-09,2.5761E-09,2.5761E-09,6
6.7591E-02,6.7591E-02,6.7591E-02,5.9581E-09,6.7591E-02,6.7591E-02,6.7591E-02,6.7591E-02,5
9.1885E-01,9.1885E-01,9.1862E-01,1.7694E-09,9.1882E-01,9.1842E-01,9.1862E-01,6.9042E-04,4
1.3253E-02,1.3242E-02,1.0157E-02,9.9641E-13,1.3163E-02,3.1851E-03,1.0157E-02,1.1183E-05,3
3.0295E-04,2.2686E-05,1.5079E-07,6.2464E-14,3.0280E-04,2.8026E-04,1.5079E-07,7.6355E-09,2
1.9564E-06,1.9560E-12,-1.1102E-16,0.0000E+00,1.9564E-06,2.4609E-11,-1.1102E-16,2.9837E-15,1
1.2157E-13,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0
