Boundaries improved,all,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect
6,6.1488E-20,6.1488E-20,6.1488E-20,6.1488E-20,6.1488E-20,6.1488E-20,6.1488E-20,6.1488E-20
5,1.2658E-19,1.2658E-19,1.2640E-19,1.2658E-19,1.2658E-19,8.3694E-20,1.2640E-19,4.3070E-20
4,7.5430E-20,7.5413E-20,7.5279E-20,7.5430E-20,7.5430E-20,4.1924E-23,7.5279E-20,1.2490E-22
3,3.5835E-23,2.5605E-23,4.5545E-30,3.5835E-23,3.5835E-23,2.9986E-25,4.5545E-30,9.9304E-24
2,4.0459E-25,2.4074E-35,2.4074E-35,4.0459E-25,4.0459E-25,-4.8148E-35,2.4074E-35,0.0000E+00
1,-7.2222E-35,0.0000E+00,0.0000E+00,-7.2222E-35,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
0,1.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
