Boundaries improved,all,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect
6,6.1488E-20,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02,1.0000E+02
5,1.2658E-19,1.0000E+02,9.9858E+01,1.0000E+02,1.0000E+02,6.6117E+01,9.9858E+01,3.4024E+01
4,7.5430E-20,9.9979E+01,9.9800E+01,1.0000E+02,1.0000E+02,5.5580E-02,9.9800E+01,1.6558E-01
3,3.5835E-23,7.1452E+01,1.2710E-05,1.0000E+02,1.0000E+02,8.3678E-01,1.2710E-05,2.7711E+01
2,4.0459E-25,5.9503E-09,5.9503E-09,1.0000E+02,1.0000E+02,-1.1901E-08,5.9503E-09,0.0000E+00
1,-7.2222E-35,-0.0000E+00,-0.0000E+00,1.0000E+02,-0.0000E+00,-0.0000E+00,-0.0000E+00,-0.0000E+00
0,1.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
